state,population,percent
AL,185602,3.7
AK,214642,3
AZ,1957668,25.9
AR,138164,4.7
CA,11423146,30.7
CO,757181,15.1
CT,450658,1.4
DE,30283,3
DC,8507,1.4
FL,629718,3.3
GA,519502,5.4
HI,35415,2.6
ID,148923,9.5
IL,1602403,12.5
IN,295373,4.6
IA,117090,3.8
KS,247297,8.7
KY,82110,1.9
LA,78643,1.7
ME,5134,0.4
MD,88004,1.5
MA,38379,0.6
MI,317903,3.2
MN,176007,3.3
MS,52459,1.8
MO,147254,2.5
MT,20048,2
NE,128060,7
NV,540978,20
NH,7822,0.6
NJ,217715,2.5
NM,590890,28.7
NY,457288,2.4
NC,486960,5.1
ND,9223,1.4
OH,172029,1.5
OK,267016,7.1
OR,369817,9.7
PA,129568,1
RI,9090,0.9
SC,138350,3
SD,13839,1.7
TN,186615,2.9
TX,7951193,31.6
UT,258905,9.4
VT,2534,0.4
VA,155067,1.9
WA,601768,8.9
WV,9704,0.5
WI,244248,4.3
WY,37719,6.7
